书名,作者,豆瓣,Goodreads,类,归属场景
富爸爸穷爸爸,罗伯特·清崎,8.2,—,B,career_transition;family_finance;purchase_decision;tax_insurance
富爸爸穷爸爸 Rich Dad Poor Dad,罗伯特·清崎,8.3,4.12,,tax_insurance
对位法,福克斯,—,—,B,music_learning
对白,罗伯特·麦基,—,—,B,short_video
对话,罗伯特·麦基,—,—,B,writing_polish
寻味顺德,,—,—,B,dining_recommendation
寻路中国,彼得·海斯勒(何伟),9.0,—,A,travel_deep;travel_planning
导航系统原理,—,—,—,B,aerospace
寿险精算与产品定价基础,—,—,—,B,tax_insurance
小动物临床营养学,Hand,—,—,B,pet_care
小动物内科学,Nelson & Couto,—,—,B,pet_care
小动物外科学,Fossum,—,—,B,pet_care
小家越住越大,逯薇,8.4,—,B,home_organize;home_renovation
小户型空间利用与收纳设计图鉴,—,—,—,B,home_organize
小狗钱钱,博多·舍费尔,9.2(31478人),—,A,career_transition;family_finance;insurance_planning;purchase_decision;rent_buy_house;study_abroad;tax_insurance;wedding_planning
少有人走的路,M·斯科特·派克,8.4,4.02(G),G,mental_wellness
就业、利息和货币通论,凯恩斯,8.7,3.85,A,industrialization
尼尔森儿科学,Nelson,—,—,B,family_doctor;parenting_baby
尾矿处理与综合利用,—,—,—,B,mining_extraction
尾矿库设计与安全,—,—,—,B,mining_extraction
居家养老服务规范,—,—,—,B,elder_care
居家安全隐患排查清单,—,—,—,B,parenting_baby
山家清供,[宋] 林洪,8.5,—,A,cooking_recipe
岁时节日里的中国,,—,—,B,dining_recommendation
岗位胜任力模型,—,—,—,B,resume_interview
岩石力学与工程,—,—,—,B,mining_extraction
峰值体验,—,—,—,B,event_planning
崔玉涛图解家庭育儿,崔玉涛,8.6,—,A,parenting_baby
嵌入式系统设计,—,—,—,B,automotive
川菜烹饪事典,专著,—,—,B,cooking_recipe
工业4.0(德国国家平台),—,—,—,B,industrialization
工业互联网与MES系统实践,—,—,—,B,industrialization
工业催化,黄仲涛,—,—,B,chemical_industry
工业化与经济发展,钱纳里 等,—,—,B,industrialization
工业工程基础,—,—,—,B,automotive
工业废水处理,—,—,—,B,chemical_industry
工业机器人技术,—,—,—,B,machinery
工伤保险条例理解与适用,—,—,—,B,legal_consulting
工具论,亚里士多德,—,—,B,debate_speech
工程建设标准强制性条文,住建部,—,—,B,construction_materials
工程建设项目招标投标管理办法,部委,—,—,B,construction_materials
工程材料及成形技术基础,—,—,—,B,machinery
工程热力学,—,—,—,B,aerospace;energy_power
工程经济学,高校教材,—,—,B,construction_materials
工程项目管理,成虎,—,—,B,construction_materials
巴比伦最富有的人 The Richest Man in Babylon,乔治·克拉森,8.1,4.27,G,insurance_planning
巴菲特致股东的信,沃伦·巴菲特,—,—,B,family_finance;stock_trading
巴赫初级钢琴曲集,巴赫,—,—,B,music_learning
市场监管投诉举报处理办法解读,专著,—,—,B,dispute_rights
市场营销学,科特勒,—,—,B,agriculture
布光教科书(人像/产品),—,—,—,B,photography
希氏内科学(Goldman-Cecil),Cecil,—,—,B,family_doctor;health_checkup
平台推荐机制与流量分发说明,平台官方,—,—,B,short_video
平台规则与商家责任,专著,—,—,B,dispute_rights
平台账号安全与风控,专著,—,—,B,cross_border
并购重组法律实务,—,—,—,B,legal_consulting
幸福的婚姻,约翰·戈特曼,8.4,—,B,wedding_planning
床垫/枕头人体工学专著,—,—,—,B,sleep_health
库存管理,—,—,—,B,automotive
库存管理与需求预测,专著,—,—,B,ecommerce_ops
应用线性回归,专著,—,—,B,data_analytics
底盘调校与操控感解读,—,—,—,B,car_purchase
康复医学,—,—,—,B,chronic_disease
建筑:形式·空间和秩序,程大锦,9.0,—,B,home_renovation
建筑地基基础设计规范 GB 50007,国标,—,—,B,construction_materials
建筑工程施工质量评价标准 GB/T 50375,国标,—,—,B,construction_materials
建筑工程施工质量验收统一标准 GB 50300,国标,—,—,B,construction_materials
建筑工程概预算与清单计价规范,—,—,—,B,home_renovation
建筑工程绿色施工规范 GB/T 50905,国标,—,—,B,construction_materials
建筑抗震设计规范 GB 50011,国标,—,—,B,construction_materials
建筑施工手册(第五版),专著,—,—,B,construction_materials
建筑施工技术,高校教材,—,—,B,construction_materials
建筑施工组织设计,专著,—,—,B,construction_materials
建筑材料,高教教材,—,—,B,construction_materials;home_renovation
建筑模式语言 A Pattern Language,克里斯托弗·亚历山大,9.2,4.16,A,home_organize;home_renovation
建筑法,全国人大,—,—,B,construction_materials
建筑电气与给排水工艺标准图集,—,—,—,B,home_renovation
建筑碳排放计算标准 GB/T 51366,国标,—,—,B,construction_materials
建筑结构可靠度设计统一标准 GB 50068,国标,—,—,B,construction_materials
建筑结构荷载规范 GB 50009,国标,—,—,B,construction_materials
建筑结构静力计算手册,专著,—,—,B,construction_materials
建筑给水排水及采暖工程施工质量验收规范 GB 50242,国标,—,—,B,construction_materials
建筑给水排水设计标准 GB 50015,国标,—,—,B,construction_materials
建筑节能与可再生能源利用通用规范 GB 55015,国标,—,—,B,construction_materials
建筑设计防火规范 GB 50016,国标,—,—,B,construction_materials
建筑识图与质量验收,—,—,—,B,rent_buy_house
建设工程安全生产管理条例,国务院,—,—,B,construction_materials
建设工程法规,高校教材,—,—,B,construction_materials
建设工程监理规范 GB/T 50319,国标,—,—,B,construction_materials
建设工程质量管理条例,国务院,—,—,B,construction_materials
建设工程项目管理规范 GB/T 50326,国标,—,—,B,construction_materials
引导:团队群策群力的实践指南,Sam Kaner,—,—,B,board_game
引爆点,马尔科姆·格拉德威尔,—,—,B,event_planning;gift_selection
引爆用户增长,杨瀚清,—,—,B,private_domain
张宇高等数学十八讲,张宇,—,—,B,learning_planning
弹指之间(民谣吉他),潘尚文,—,—,B,music_learning
强制执行法实务,—,—,—,B,legal_consulting
强化学习,—,—,—,B,automotive
当下的力量,埃克哈特·托利,8.4,4.16(G),G,mental_wellness
当众讲话,戴尔·卡耐基,—,—,B,debate_speech
当呼吸化为空气,保罗·卡拉尼什,8.8,4.35,A,elder_care
当呼吸化为空气 When Breath Becomes Air,保罗·卡拉尼什,8.8,4.35,,elder_care
当尼采哭泣,欧文·亚隆,8.9,4.21,A/G,mental_wellness
录音录像证据合法性研究,专著,—,—,B,dispute_rights
形式逻辑,金岳霖,—,—,B,debate_speech
影响力,罗伯特·西奥迪尼,8.8,—,A,_管理类共用书单;agriculture;construction_materials;dispute_rights;ecommerce_ops;generic_consulting;gift_selection;home_renovation;presentation_skills;private_domain;product_manager;purchase_decision;rent_buy_house;resume_interview;seo_growth;short_video;skincare_beauty;startup_advisory
影响力 Influence,罗伯特·西奥迪尼,8.6,4.21,,generic_consulting
彼得·林奇的成功投资 One Up On Wall Street,彼得·林奇,9.0,4.29,A,stock_trading
徐涛考研政治核心考案,徐涛,—,—,B,grad_civil_exam;learning_planning
微习惯,斯蒂芬·盖斯,7.4,3.81,B,home_organize;language_learning;time_productivity
微交互,Dan Saffer,—,—,B,ui_ux_review
微电子制造科学原理与工程技术,Campbell,—,—,B,electronics_semiconductor
微电子学基础,Behzad Razavi,—,4.21,G,electronics_semiconductor
微电子学基础 Fundamentals of Microelectronics,Behzad Razavi,—(G补),4.21,,electronics_semiconductor
微电子封装手册,—,—,—,B,electronics_semiconductor
心流,米哈里,—,—,B,child_education;mental_wellness;music_learning
心流 Flow,米哈里·契克森米哈赖,8.3,4.20,G,grad_civil_exam;language_learning
心理咨询与治疗的理论及实践,Corey,—,—,B,mental_wellness
心理学与生活(第20版),格里格/津巴多,9.2,—,A,child_education;mental_wellness
心理治疗中的依恋,Wallin,—,—,B,mental_wellness
心肺复苏(CPR/AED)指南,AHA,—,—,B,elder_care
心脏康复指南,—,—,—,B,chronic_disease
心脏康复运动处方,—,—,—,B,nutrition_fitness
心脑血管并发症预防,—,—,—,B,chronic_disease
心血管病学,—,—,—,B,chronic_disease
必然,凯文·凯利,—,—,B,generic_consulting
忧郁的热带,列维-斯特劳斯,—,—,B,travel_deep;travel_planning
怎样写作,叶圣陶,7.2,—,B,writing_polish
怎样解题,G·波利亚,8.6(383人),4.13,A,construction_materials
怎样选择成长股,菲利普·费雪,—,4.14,G,stock_trading
怎样选择成长股 Common Stocks and Uncommon Profits,菲利普·费雪,—,4.14,,stock_trading
"思考,快与慢",丹尼尔·卡尼曼,—,—,B,_管理类共用书单;career_transition;contract_review;data_analytics;digital_office;dining_recommendation;dispute_rights;ecommerce_ops;family_finance;generic_consulting;presentation_skills
"思考,快与慢 Thinking, Fast and Slow",丹尼尔·卡尼曼,8.0(G补),4.18,G,generic_consulting;gift_selection
急性并发症处理(酮症/低血糖),—,—,—,B,chronic_disease
怦然心动的人生整理魔法,近藤麻理惠,8.0(G补),4.0,G,fashion_styling;home_organize;purchase_decision
怪诞行为学,丹·艾瑞里,8.0,4.10,G,generic_consulting;purchase_decision
怪诞行为学 Predictably Irrational,丹·艾瑞里,8.0(G补),4.10,G,generic_consulting;gift_selection
总装工艺,—,—,—,B,automotive
情感化设计,唐纳德·诺曼,—,—,B,ui_ux_review
情绪急救,盖伊·温奇,8.4,4.06(G),G,mental_wellness
情绪聚焦疗法导论,Greenberg,—,—,B,mental_wellness
惩罚性赔偿制度研究,专著,—,—,B,dispute_rights
意定监护与居住权制度解读,—,—,—,B,elder_care
感觉统合训练手册,—,—,—,B,parenting_baby
慢性肾脏病诊疗指南,—,—,—,B,chronic_disease
慢病人群运动康复,—,—,—,B,chronic_disease
慢病红旗征识别手册,—,—,—,B,chronic_disease
慢病自我管理,—,—,—,B,chronic_disease
慢病长期用药管理,—,—,—,B,chronic_disease
慢阻肺(COPD)诊治指南,—,—,—,B,chronic_disease
成人糖尿病食养指南,—,—,—,B,chronic_disease
成分平替逻辑手册,—,—,—,B,skincare_beauty
成分护肤,西一总/白野实,7.5,—,B,skincare_beauty
成本会计,—,—,—,B,agriculture
我们为什么要睡觉,马修·沃克,8.7,4.36,A,health_checkup;mental_wellness;sleep_health
我们内心的冲突,卡伦·霍妮,8.6,4.05,A/G,mental_wellness
我决定简单地生活,佐佐木典士,7.6,3.80,B,home_organize
我教你变富 I Will Teach You to Be Rich,拉米特·塞西,—,4.07,G,insurance_planning
战略历程,明茨伯格,—,—,B,generic_consulting
户型与朝向采光分析,—,—,—,B,rent_buy_house
房地产估价,—,—,—,B,rent_buy_house
房地产周期与政策,—,—,—,B,rent_buy_house
房屋买卖合同纠纷裁判规则,—,—,—,B,rent_buy_house
房贷与消费信贷指南,—,—,—,B,family_finance
房贷计算与还款方式,—,—,—,B,rent_buy_house
所罗门王的指环,康拉德·劳伦兹,8.7,4.07,A/G,pet_care
手把手教你读财报,唐朝,—,—,B,stock_trading
托福词汇红宝书,俞敏洪,—,—,B,language_learning;learning_planning
扩展与版本对比指南,—,—,—,B,board_game
批判性思维,摩尔/帕克,—,—,B,debate_speech;generic_consulting
批评官员的尺度,安东尼·刘易斯,8.9,4.18(G),A/G,legal_consulting
找对英语学习方法的第一本书,漏屋,—,—,B,language_learning
技术的本质,布莱恩·阿瑟,—,—,B,generic_consulting
把你的英语用起来,伍君仪/刘晓光,—,—,B,language_learning
把时间当作朋友,李笑来,—,—,B,career_transition;grad_civil_exam;language_learning;learning_planning;time_productivity
投诉处理与客户关系管理,专著,—,—,B,dispute_rights
投资中最简单的事,邱国鹭,8.5,—,A,family_finance
投资学,博迪,—,—,B,collectibles;family_finance;tax_insurance
投资最重要的事,霍华德·马克斯,8.7(中信2015版),4.22,A,stock_trading
抗体药物与生物制药,—,—,—,B,pharma_biomfg
折旧率与保值率分析,—,—,—,B,purchase_decision
报关实务,专业教材,—,—,B,cross_border
担保法司法解释理解与适用,最高院,—,—,B,legal_consulting
拍卖史话,—,—,—,B,collectibles
拍卖市场年鉴(雅昌/中拍协),—,—,—,B,collectibles
拍卖竞买实务,—,—,—,B,collectibles
拒签申诉与再签策略,—,—,—,B,study_abroad
拖延心理学,简·博克,7.6,3.65,B,grad_civil_exam;home_organize;time_productivity
拖拉机与汽车学,—,—,—,B,modern_agriculture
招聘与甄选实务,—,—,—,B,resume_interview
拜厄钢琴基础教程,拜厄,—,—,B,music_learning
拥抱你的内在小孩,罗西·马奇-史密斯,—,4.0(G),G,mental_wellness
持续交付,Humble & Farley,—,—,B,product_manager
捕捉儿童敏感期,孙瑞雪,—,—,B,child_education;parenting_baby
损伤容限设计,—,—,—,B,aerospace
捡漏与打眼,—,—,—,B,collectibles
换热器原理与设计,—,—,—,B,chemical_industry
掌控习惯,詹姆斯·克利尔,8.8,—,A,career_transition;fitness_plan;grad_civil_exam;health_checkup;home_organize;language_learning;learning_planning
掌控习惯 Atomic Habits,詹姆斯·克利尔,9.0,4.34(110万人),,fitness_plan
排放法规(国六),—,—,—,B,automotive
提琴鉴赏与挑选,—,—,—,B,music_learning
搜索引擎营销(SEM)实战,专著,—,—,B,ecommerce_ops
搞定 GTD,戴维·艾伦,8.0,4.0,G,event_planning
搞定 Getting Things Done,戴维·艾伦,8.0(G补),4.0,,event_planning
摄影师的视界(构图与设计),Michael Freeman,8.5(823人),—,A,photography
摄影构图与色彩设计,哈拉尔德·曼特,8.6,—,A,short_video
摄影构图学,人民邮电,—,—,B,photography
收纳工具与家居好物测评方法,—,—,—,B,home_organize
收获机械,—,—,—,B,modern_agriculture
收藏入门与渠道指南,—,—,—,B,collectibles
收藏品估值方法,—,—,—,B,collectibles
收藏品流动性与变现,—,—,—,B,collectibles
收藏品税务与传承,—,—,—,B,collectibles
收藏避坑手册,—,—,—,B,collectibles
改变世界的机器 The Machine That Changed the World,沃麦克 等,8.2,4.06,G,industrialization
改造传统农业,西奥多·舒尔茨,8.6,4.0(G),A/G,modern_agriculture
放松反应(The Relaxation Response),Herbert Benson,—,—,B,sleep_health
政治学,亚里士多德,9.0,—,A,debate_speech
故事,罗伯特·麦基,9.2(22096人),—,A,writing_polish
故事:材质、结构、风格和银幕剧作的原理,罗伯特·麦基,9.4(豆瓣阅读257人),4.30,A,short_video
故事力(Building a StoryBrand),Donald Miller,—,—,B,presentation_skills
救命饮食,坎贝尔,8.4,4.10,G,food_processing
救命饮食 The China Study,坎贝尔,8.4(G补),4.10,,food_processing
教育心理学,陈琦/刘儒德,—,—,B,child_education;learning_planning
教育的目的,怀特海,—,—,B,child_education
数字PR与品牌传播,—,—,—,B,seo_growth
数字信号处理,—,—,—,B,aerospace
数字化制造与装配,—,—,—,B,aerospace
数字化造船与精度管理,—,—,—,B,shipbuilding_marine
数字集成电路,Rabaey,—,—,B,electronics_semiconductor
数据安全法实务,专著,—,—,B,contract_review
数据完整性(ALCOA+),—,—,—,B,pharma_biomfg
数据库系统概念,Silberschatz 等,—,—,B,program_management
数据治理与质量管理,专著,—,—,B,data_analytics
数据驱动,车品觉,—,—,B,seo_growth;short_video
数控加工工艺与编程,—,—,—,B,machinery
数控加工技术,—,—,—,B,aerospace
数码单反摄影从入门到精通,—,—,—,B,photography
整体形象设计,—,—,—,B,fashion_styling
整理收纳师国家职业技能标准,—,—,—,B,home_organize
整车性能开发与评价,—,—,—,B,car_purchase
整车总布置设计,—,—,—,B,automotive
文心,夏丏尊/叶圣陶(三联版),9.1(5053人),—,A,writing_polish
文心雕龙,刘勰,—,—,B,writing_polish
文案训练手册,约瑟夫·休格曼,7.8,—,B,ecommerce_ops;seo_growth;writing_polish
文物保护学概论,—,—,—,B,collectibles
文物保护材料学,—,—,—,B,collectibles
文物保护科技检测,—,—,—,B,collectibles
文物艺术品流通,—,—,—,B,collectibles
文物鉴定与鉴赏,—,—,—,B,collectibles
文章作法,夏丏尊/刘薰宇,—,—,B,writing_polish
断舍离,山下英子,—,—,B,fashion_styling;home_organize;purchase_decision
新公司法理解与适用,最高院,—,—,B,legal_consulting
新化学物质环境管理登记办法,—,—,—,B,chemical_industry
新型农业经营主体,—,—,—,B,agriculture
新型墙体材料,专著,—,—,B,construction_materials
新娘妆造与跟妆流程指南,综合,—,—,B,wedding_planning
新家庭如何塑造人,萨提亚,—,—,B,child_education
新手养花避坑指南,—,—,—,B,gardening
新概念英语,L.G. 亚历山大,—,—,B,language_learning
新编药物学,—,—,—,B,chronic_disease
新能源汽车技术,—,—,—,B,automotive
新能源汽车标准,—,—,—,B,automotive
新能源汽车结构与原理(全彩图解),—,—,—,B,car_purchase
新能源汽车维护保养,—,—,—,B,car_purchase
新药研发与临床试验(GCP),—,—,—,B,pharma_biomfg
新高考选科政策解读,各省教育考试院,—,—,B,learning_planning
施瓦茨外科学原理,Schwartz,—,—,B,family_doctor
施瓦辛格健身全书,阿诺德·施瓦辛格,9.1,—,A,fitness_plan;nutrition_fitness
旅行的艺术,阿兰·德波顿,—,—,B,travel_deep;travel_planning
无人驾驶与远程采矿,—,—,—,B,mining_extraction
无价,威廉·庞德斯通,8.0,3.94,B,gift_selection
无器械健身,马克·劳伦,8.6,—,A,fitness_plan;nutrition_fitness
无形资产评估(资产评估教材),—,—,—,B,ip_patent
无损检测(NDT手册),—,—,—,B,aerospace;metallurgy
无损检测技术,—,—,—,B,machinery
无条件养育,艾尔菲·科恩,8.8,4.18,A/G,parenting_baby
无菌工艺与洁净室(ISO 14644),ISO,—,—,B,pharma_biomfg
日本蜡烛图技术,史蒂夫·尼森,—,—,B,stock_trading
时令食材手册,专著,—,—,B,cooking_recipe
时尚通史,Survey of Historic Costume,—,—,B,fashion_styling
时装设计元素:款式与样板,—,—,—,B,fashion_styling
明室(Camera Lucida),罗兰·巴特,—,—,B,photography
明室:摄影札记,罗兰·巴特,—,—,B,travel_deep;travel_planning
明清家具鉴赏与研究,王世襄,—,—,B,collectibles
明清瓷器鉴定,耿宝昌,—,—,B,collectibles
星际航行概论,钱学森,9.5,—,A,aerospace
显微鉴定技术,—,—,—,B,collectibles
显示技术原理与面板参数,专著,—,—,B,digital_office
普通地质学,—,—,—,B,mining_extraction
普通混凝土配合比设计规程 JGJ 55,行标,—,—,B,construction_materials
智慧农业导论,—,—,—,B,agriculture
智慧农业系统集成,—,—,—,B,modern_agriculture
智能制造与工业4.0,—,—,—,B,automotive
智能制造导论,—,—,—,B,aerospace
智能可穿戴纺织品,—,—,—,B,textiles
智能建筑设计标准 GB 50314,国标,—,—,B,construction_materials
智能矿山技术,—,—,—,B,mining_extraction
智能网联汽车,—,—,—,B,automotive
暖通空调,陆亚俊,—,—,B,construction_materials
曲式与作品分析,—,—,—,B,music_learning
更瘦更强壮,迈克尔·马修斯,—,4.22,G,fitness_plan
更瘦更强壮 Bigger Leaner Stronger,迈克尔·马修斯,—(G补),4.22(1万人),,fitness_plan
曼德尔感染病学,Mandell,—,—,B,family_doctor
最优估计与卡尔曼滤波,—,—,—,B,aerospace
最好的告别,阿图·葛文德,9.0(5.6万人),—,A,chronic_disease;elder_care;family_doctor
最好的告别 Being Mortal,阿图·葛文德,9.0(5.6万人),4.36,A,elder_care;health_checkup
最高人民法院指导性案例汇编,最高院,—,—,B,legal_consulting
有吸收力的心灵,蒙台梭利,—,—,B,child_education
有效资产管理,William Bernstein,—,—,B,stock_trading;tax_insurance
有效需求分析,—,—,—,B,product_manager
有机农业生产技术,—,—,—,B,agriculture
有机园艺土壤管理,—,—,—,B,gardening
服务设计实务,—,—,—,B,event_planning
服装人体造型,—,—,—,B,fashion_styling
服装工艺学,—,—,—,B,textiles
服装搭配学,—,—,—,B,fashion_styling
服装材料学,—,—,—,B,textiles
服装结构设计(工业纸样),—,—,—,B,textiles
服装设计学,教材,—,—,B,fashion_styling
服装面料学,教材,—,—,B,fashion_styling
期货市场技术分析,约翰·墨菲,—,—,B,stock_trading
本草纲目,李时珍,8.5(459人),—,A,family_doctor
机动车保险条款解读,—,—,—,B,car_purchase
机动车安全技术条件(GB7258),—,—,—,B,automotive
机器人学导论(Introduction to Robotics),约翰·克雷格,8.5,4.0(G),A/G,machinery
机构投资的创新之路,大卫·史文森,—,—,B,stock_trading
机械制图(GB),—,—,—,B,machinery
机械制图国家标准,GB,—,—,B,machinery
机械制造技术基础,—,—,—,B,aerospace;machinery
机械加工工艺手册,—,—,—,B,aerospace
机械原理,孙桓 等(高教版),8.6,—,A,machinery
机械可靠性设计,—,—,—,B,machinery
机械安全标准 ISO 12100,ISO,—,—,B,machinery
机械工程手册,—,—,—,B,machinery
机械工程材料,—,—,—,B,machinery
机械设计,濮良贵(高教版),8.5,—,A,machinery;textiles
机械设计手册,成大先,—,—,B,machinery
机油与润滑油选用指南,—,—,—,B,car_purchase
机织学,朱苏康/高卫东,—,—,B,textiles
杂食者的两难,迈克尔·波伦,8.6,4.20(G),A/G,modern_agriculture
李永乐复习全书(数学),李永乐,—,—,B,learning_planning
材料力学,刘鸿文,—,—,B,aerospace;machinery
材料力学性能,—,—,—,B,aerospace
材料科学基础,石德珂,—,—,B,aerospace;machinery;metallurgy
板带材轧制,—,—,—,B,metallurgy
极简主义,乔舒亚·米尔本,7.2,3.92,B,home_organize;purchase_decision
极简衣橱整理术,—,—,—,B,fashion_styling
构造地质学,—,—,—,B,mining_extraction
林巧稚妇科肿瘤学,连利娟 等,—,—,B,family_doctor
果树栽培学,—,—,—,B,agriculture
果蔬采后生理与保鲜,—,—,—,B,modern_agriculture
枪炮、病菌与钢铁,贾雷德·戴蒙德,8.7,—,A,agriculture;cross_border;industrialization;modern_agriculture
架构整洁之道,Robert C. Martin,8.7,—,A,product_manager;program_management
架构整洁之道 Clean Architecture,Robert C. Martin,—,4.21,G,startup_advisory
染整工艺学(前处理/染色/印花/整理),—,—,—,B,textiles
染料化学,—,—,—,B,chemical_industry;textiles
柯林斯/朗文英语词典,柯林斯/朗文,—,—,B,language_learning
栅格系统与版式设计,米勒-布罗克曼,—,—,B,ui_ux_review
标准化工作导则 GB/T 1.1,—,—,—,B,industrialization
标准美国黄卡叫牌法,—,—,—,B,board_game
核保实务,—,—,—,B,insurance_planning
核反应堆物理分析,谢仲生,—,—,B,energy_power
格-艾放射诊断学,Grainger & Allison,—,—,B,family_doctor
案例面试(Case Interview),—,—,—,B,resume_interview
桌游收藏与评测年鉴,—,—,—,B,board_game
桌游裁判手册,—,—,—,B,board_game
桌游配件与收纳指南,—,—,—,B,board_game
桥牌入门,瞿强立,—,—,B,board_game
桥牌初级教程,—,—,—,B,board_game
桥牌竞赛规则(WBF),WBF,—,—,B,board_game
检验结果临床意义解读,—,—,—,B,chronic_disease
棉花帝国:一部资本主义全球史,斯文·贝克特,8.3,3.89,B,textiles
植保机械与施药技术,—,—,—,B,modern_agriculture
植物保护学,—,—,—,B,agriculture;modern_agriculture
植物生理学,—,—,—,B,agriculture;gardening;modern_agriculture
植物病理学,—,—,—,B,agriculture;gardening;modern_agriculture
植物的欲望 Botany of Desire,迈克尔·波伦,8.0,4.04,G,modern_agriculture
植物组织培养,—,—,—,B,agriculture
植物营养学,—,—,—,B,agriculture;gardening;modern_agriculture
植物造景,苏雪痕,—,—,B,gardening
概率论与数理统计,高校教材,—,—,B,data_analytics
模拟CMOS集成电路设计,Behzad Razavi,—,4.21,G,electronics_semiconductor
模拟CMOS集成电路设计 Design of Analog CMOS IC,Behzad Razavi,—(G补),4.21,,electronics_semiconductor
模拟电子技术基础,童诗白,—,—,B,electronics_semiconductor
欧洲药典(EP),EDQM,—,—,B,pharma_biomfg
欧洲语言共同参考框架 CEFR,欧洲委员会,—,—,B,language_learning
欧盟 REACH 法规解读,—,—,—,B,chemical_industry
欧盟 VAT 与税务合规实务,专著,—,—,B,cross_border
歌之版图 The Songlines,Bruce Chatwin,—,3.99(1万)*,G,travel_deep;travel_planning
正午之魔,安德鲁·所罗门,8.7,4.20,A/G,mental_wellness
正午之魔:抑郁是你我共有的秘密,安德鲁·所罗门,8.7,4.20,,mental_wellness
正向强化训练手册,—,—,—,B,pet_care
正念,乔·卡巴金,8.2,—,B,sleep_health
正念:此刻是一枝花,卡巴金,—,—,B,mental_wellness
正面管教,简·尼尔森,8.8,—,A,child_education;parenting_baby
此生未完成,于娟,8.5,—,A,elder_care
母乳喂养的女性艺术,国际母乳会 LLLI,—,—,B,parenting_baby
母爱的羁绊,卡瑞尔·麦克布莱德,8.2,4.04(G),G,mental_wellness
民事审判指导与参考,最高院丛书,—,—,B,legal_consulting
民事案件案由规定理解与适用,最高院,—,—,B,legal_consulting
民事证据规则理解与适用,最高人民法院,—,—,B,dispute_rights
民事诉讼法,江伟/张卫平,—,—,B,contract_review;legal_consulting
民事诉讼法学,张卫平,—,—,B,contract_review;legal_consulting
民法典(条文+理解与适用),法律出版社,—,—,B,contract_review;rent_buy_house
民法典·婚姻家庭编与继承编理解与适用,最高院,—,—,B,legal_consulting
民法典侵权责任编理解与适用,最高人民法院,—,—,B,dispute_rights
民法典合同编理解与适用,最高人民法院,—,—,B,contract_review;legal_consulting
民法典合同编释义,法律出版社,—,—,B,contract_review;home_renovation
民法典继承编释义,—,—,—,B,elder_care
民法学,王利明,—,—,B,contract_review
民法思维:请求权基础理论体系,王泽鉴,—,—,B,legal_consulting
民法总论,王利明,—,—,B,legal_consulting
民用建筑工程室内环境污染控制标准 GB50325,—,—,—,B,home_renovation
民用建筑热工设计规范 GB 50176,国标,—,—,B,construction_materials
民用建筑电气设计标准 GB 51348,国标,—,—,B,construction_materials
民用建筑设计统一标准 GB 50352,国标,—,—,B,construction_materials
气压传动,—,—,—,B,machinery
氢冶金技术,—,—,—,B,metallurgy
氢能技术,—,—,—,B,energy_power
水产养殖学,—,—,—,B,agriculture
水泥工艺学,专业教材,—,—,B,construction_materials
水肥一体化技术,—,—,—,B,agriculture;modern_agriculture
永磁同步电机控制,—,—,—,B,automotive
永续农业概论,比尔·莫利森,8.8,—,A,agriculture
江城,彼得·海斯勒(何伟),9.1(69671人),—,A,travel_deep;travel_planning
江村经济,费孝通,9.0,4.06,A/G,modern_agriculture
汪曾祺谈吃,,—,—,B,dining_recommendation
汽车 NVH 入门,—,—,—,B,car_purchase
汽车NVH控制技术,—,—,—,B,automotive
汽车为什么会跑:图解汽车构造与原理,陈新亚,8.9,—,A,automotive;car_purchase
汽车产品认证(3C),—,—,—,B,automotive
汽车保养手册,—,—,—,B,car_purchase
汽车信息安全标准,—,—,—,B,automotive
汽车制造工艺学,—,—,—,B,automotive
汽车发动机原理,王建昕/帅石金,8.6,—,A,automotive
汽车变速器设计,—,—,—,B,automotive
汽车召回信息查询手册,—,—,—,B,car_purchase
汽车召回管理,—,—,—,B,automotive
汽车可靠性与质量评价,—,—,—,B,car_purchase
汽车安全法规,—,—,—,B,automotive
汽车工程手册,—,—,—,B,car_purchase
汽车底盘构造与设计,—,—,—,B,automotive
汽车悬架系统设计,—,—,—,B,automotive
汽车故障诊断与排除,—,—,—,B,car_purchase
汽车是怎样跑起来的,御堀直嗣,8.5,—,A,automotive;car_purchase
汽车构造,陈家瑞,—,—,B,automotive;car_purchase
汽车理论,余志生,—,—,B,automotive;car_purchase
汽车电子技术,—,—,—,B,automotive
汽车电子电气架构,—,—,—,B,automotive
汽车碰撞安全,—,—,—,B,automotive
汽车空气动力学,—,—,—,B,automotive
汽车维修与保养基础,—,—,—,B,car_purchase
汽车维修工艺手册,—,—,—,B,car_purchase
汽车设计,王望予,—,—,B,automotive;car_purchase
汽车评测方法论,—,—,—,B,car_purchase
汽车车身设计,—,—,—,B,automotive
汽车轻量化设计,—,—,—,B,automotive
汽车配件辨识与采购,—,—,—,B,car_purchase
汽车金融与分期方案解析,—,—,—,B,car_purchase
汽轮机原理,—,—,—,B,energy_power
沃顿商学院最受欢迎的谈判课,斯图尔特·戴蒙德,—,—,B,contract_review
沈渔邨精神病学,陆林 修订,—,—,B,family_doctor
沙盘游戏疗法,—,—,—,B,child_education
沟通的艺术(插图修订第15版),罗纳德·B·阿德勒,8.8,4.07,A,debate_speech;wedding_planning
油耗与积分政策,—,—,—,B,automotive
