书名,作者,归属场景
民法典合同编理解与适用,最高人民法院,contract_review;legal_consulting
民法典合同编释义,法律出版社,contract_review;home_renovation
民法典继承编释义,—,elder_care
民法学,王利明,contract_review
民法思维:请求权基础理论体系,王泽鉴,legal_consulting
民法总论,王利明,legal_consulting
民用建筑工程室内环境污染控制标准 GB50325,—,home_renovation
民用建筑热工设计规范 GB 50176,国标,construction_materials
民用建筑电气设计标准 GB 51348,国标,construction_materials
民用建筑设计统一标准 GB 50352,国标,construction_materials
气压传动,—,machinery
氢冶金技术,—,metallurgy
氢能技术,—,energy_power
水产养殖学,—,agriculture
水泥工艺学,专业教材,construction_materials
水肥一体化技术,—,agriculture;modern_agriculture
永磁同步电机控制,—,automotive
永续农业概论,比尔·莫利森,agriculture
江城,彼得·海斯勒(何伟),travel_deep;travel_planning
江村经济,费孝通,modern_agriculture
汪曾祺谈吃,汪曾祺,dining_recommendation
汽车 NVH 入门,—,car_purchase
汽车NVH控制技术,—,automotive
汽车为什么会跑:图解汽车构造与原理,陈新亚,automotive;car_purchase
汽车产品认证(3C),—,automotive
汽车保养手册,—,car_purchase
汽车信息安全标准,—,automotive
汽车制造工艺学,—,automotive
汽车发动机原理,王建昕/帅石金,automotive
汽车变速器设计,—,automotive
汽车召回信息查询手册,—,car_purchase
汽车召回管理,—,automotive
汽车可靠性与质量评价,—,car_purchase
汽车安全法规,—,automotive
汽车工程手册,—,car_purchase
汽车底盘构造与设计,—,automotive
汽车悬架系统设计,—,automotive
汽车故障诊断与排除,—,car_purchase
汽车是怎样跑起来的,御堀直嗣,automotive;car_purchase
汽车构造,陈家瑞,automotive;car_purchase
汽车理论,余志生,automotive;car_purchase
汽车电子技术,—,automotive
汽车电子电气架构,—,automotive
汽车碰撞安全,—,automotive
汽车空气动力学,—,automotive
汽车维修与保养基础,—,car_purchase
汽车维修工艺手册,—,car_purchase
汽车设计,王望予,automotive;car_purchase
汽车评测方法论,—,car_purchase
汽车车身设计,—,automotive
汽车轻量化设计,—,automotive
汽车配件辨识与采购,—,car_purchase
汽车金融与分期方案解析,—,car_purchase
汽轮机原理,—,energy_power
沃顿商学院最受欢迎的谈判课,斯图尔特·戴蒙德,contract_review
沈渔邨精神病学,陆林 修订,family_doctor
沙盘游戏疗法,—,child_education
沟通的艺术(插图修订第15版),罗纳德·B·阿德勒,debate_speech;wedding_planning
油耗与积分政策,—,automotive
法伯睡眠宝典(Solve Your Child's Sleep),理查德·法伯,parenting_baby
法律的概念,哈特(H.L.A. Hart),contract_review;legal_consulting
法律经济学,理查德·波斯纳,dispute_rights
法律解释方法,专著,contract_review
法理学,张文显,legal_consulting
法餐烹饪基础(Le Cordon Bleu),专著,cooking_recipe
注射美容并发症防治,—,skincare_beauty
洛克伍德-格林成人骨折,Rockwood & Green,family_doctor
洞穴奇案,彼得·萨伯,contract_review;dispute_rights;legal_consulting
活出生命的意义,维克多·弗兰克尔,mental_wellness
活动执行手册,—,event_planning
活动策划与项目管理,Event Planning,wedding_planning
活动策划全攻略,—,event_planning
活动策划完全手册,—,event_planning
活动策划实战全攻略,—,event_planning
活动预算与成本控制实务,—,event_planning
流体力学与传热,—,chemical_industry
流化床反应工程,—,chemical_industry
流量池,杨飞,ecommerce_ops;seo_growth
测土配方施肥技术,—,modern_agriculture
测试驱动开发(TDD by Example),Kent Beck,program_management
浪漫一代,查尔斯·罗森,music_learning
浪潮之巅,吴军,career_transition;electronics_semiconductor;industrialization
浮选,—,mining_extraction
海关 HS 编码与关税实务,专著,cross_border
海外仓运营与库存管理,专著,cross_border
海姆立克急救法图解,—,parenting_baby
海权论,阿尔弗雷德·马汉,shipbuilding_marine
海洋工程概论,—,shipbuilding_marine
涂料工艺,—,chemical_industry
涂装技术,—,automotive
消费品质量与安全标准读本,—,gift_selection
消费心理与理性购物,—,skincare_beauty
消费心理学,专业教材,digital_office
消费欺诈识别与维权,专著,digital_office
消费电子选购指南,—,purchase_decision
消费纠纷裁判规则汇编,专著,dispute_rights
消费维权与餐饮投诉指引,专著,dining_recommendation
消费维权渠道指南,专著,dispute_rights
消费者协会工作实务,专著,dispute_rights
消费者投诉行为研究,专著,dispute_rights
消费者权益保护法(条文),法律出版社,digital_office
消费者权益保护法实务,—,gift_selection;home_organize;home_renovation
消费者权益保护法释义,法律出版社,dispute_rights
消费者行为学,—,agriculture;dining_recommendation;gift_selection
消费者购车决策与权益保护,—,car_purchase
消费金融与分期陷阱,—,purchase_decision
消防给水及消火栓系统技术规范 GB 50974,国标,construction_materials
液体火箭发动机,—,aerospace
液压传动,王积伟,machinery
淘系/抖系搜索与推荐机制,专著,ecommerce_ops
淮扬菜系,专著,cooking_recipe
深入浅出 SQL,Head First,data_analytics
深入浅出数据分析,Michael Milton,generic_consulting
深入浅出数据分析 Head First Data Analysis,Michael Milton,generic_consulting
深入理解计算机系统(CSAPP),Bryant & O'Hallaron,digital_office
深度学习,Goodfellow 等,automotive
深度工作,卡尔·纽波特,career_transition
深度工作 Deep Work,卡尔·纽波特,grad_civil_exam;learning_planning
混凝土外加剂及其应用技术,专著,construction_materials
混凝土外加剂应用技术规范 GB 50119,国标,construction_materials
混凝土结构(上中下),东南/同济,construction_materials
混凝土结构工程施工规范 GB 50666,国标,construction_materials
混凝土结构工程施工质量验收规范 GB 50204,国标,construction_materials
混凝土结构设计原理,高校教材,construction_materials
混凝土结构设计规范 GB 50010,国标,construction_materials
混凝土质量控制标准 GB 50164,国标,construction_materials
混合动力汽车技术,—,automotive
清单革命,阿图·葛文德,_管理类共用书单;career_transition
清单革命 The Checklist Manifesto,阿图·葛文德,health_checkup
清真/犹太洁食饮食规范,专著,dining_recommendation
清醒思考的艺术,罗尔夫·多贝里,generic_consulting
温室工程学,—,agriculture
温湿度与光照控制,—,collectibles
游戏力,劳伦斯·科恩,child_education;parenting_baby
游戏改变世界,简·麦戈尼格尔,event_planning
游戏改变世界 Reality Is Broken,简·麦戈尼格尔,event_planning
游戏机制:高级游戏设计技术,Adams & Dormans,board_game
游戏硬件与帧率优化,专著,digital_office
游戏设计艺术(第2版),Jesse Schell,board_game;event_planning
漏斗分析与归因,专著,ecommerce_ops
演奏焦虑与心理调节,—,music_learning
演讲的力量(TED Talks),Chris Anderson,presentation_skills
漫步华尔街,马尔基尔,career_transition;collectibles;family_finance;stock_trading;tax_insurance
漫步华尔街 A Random Walk Down Wall Street,伯顿·马尔基尔,family_finance
激光与光电治疗学,—,skincare_beauty
激光雷达原理,—,automotive
激痛点疗法手册,—,fitness_plan
灌溉与水肥一体化,—,gardening
灌溉排水工程学,—,agriculture
灵活如豹,凯利·斯塔雷特,fitness_plan
灵活如豹 Becoming a Supple Leopard,凯利·斯塔雷特,fitness_plan
点石成金(Don't Make Me Think),Steve Krug,product_manager
炼钢学,—,metallurgy
炼铁学,—,metallurgy
炼铁工艺与设备,—,metallurgy
烂尾楼风险与保交楼,—,rent_buy_house
热力发电厂,—,energy_power
热处理工艺手册,—,machinery
热度与标签运营白皮书,平台官方,short_video
热管理系统设计,—,automotive
热轧带钢生产,—,metallurgy
热锅上的家庭,—,child_education
热障涂层技术,—,aerospace
烹饪原料学,专业教材,cooking_recipe
烹饪工艺学,高校教材,cooking_recipe
焊接工程,—,aerospace
焊接工艺,—,automotive
焊接方法与设备,—,machinery
煤矿安全规程,—,mining_extraction
照护者心理支持手册,—,elder_care
燃料电池技术,—,automotive
燃气轮机原理,—,energy_power
爆款文案,关健明,ecommerce_ops;seo_growth;short_video
爆款文案/自媒体写作方法论,综合,writing_polish
爆破工程,—,mining_extraction
爱和自由,孙瑞雪,child_education;parenting_baby
爱的五种语言,盖瑞·查普曼,child_education;gift_selection;mental_wellness
父母效能训练手册,托马斯·戈登,child_education
父母的语言,达娜·萨斯金德,parenting_baby
版面设计法则,综合,ui_ux_review
牛津书虫分级读物,牛津大学出版社,language_learning
物品:理解囤积症,兰迪·弗罗斯特,home_organize
物理冶金原理,—,metallurgy
特殊钢与高温合金,—,metallurgy
特种设备安全监察条例,—,chemical_industry
犬猫品种性格与遗传病图谱,—,pet_care
犬猫急诊与重症医学,—,pet_care
犬猫疾病学(小动物内科),—,pet_care
犬猫皮肤病学,—,pet_care
犬猫美容造型完全手册,—,pet_care
犬猫营养需求 NRC,NRC,pet_care
犬种标准造型图鉴,—,pet_care
狗:狗的起源、行为与演化,雷蒙德·科平格,pet_care
狗:起源行为与演化,雷蒙德·科平格,pet_care
独立站(Shopify)运营实战,专著,cross_border
猫行为问题诊疗,帕姆·约翰逊-本奈特,pet_care
玉器辨伪,—,collectibles
王江涛考研英语高分写作,王江涛,learning_planning
现代临床营养学,—,chronic_disease
现代控制理论,—,aerospace
现代操作系统,Tanenbaum,digital_office
现代物流学,—,industrialization
现代营养学,Modern Nutrition,cooking_recipe;nutrition_fitness
现代造船模式(壳舾涂一体化),—,shipbuilding_marine
理论力学,哈工大,machinery
瓷器辨伪,—,collectibles
生产力工具与效率方法,专著,digital_office
生产计划与控制,—,automotive
生命价值法与需求分析法,—,insurance_planning
生态纺织与无水染色技术,—,textiles
生鲜电商运营,—,agriculture
用图表说话,Gene Zelazny,presentation_skills
用户体验度量,Tullis & Albert,product_manager;ui_ux_review
用户体验要素,Jesse James Garrett,product_manager;ui_ux_review
用户生命周期与 RFM 模型,专著,ecommerce_ops
用户生命周期管理(LTV),—,private_domain
由内而外的教养,丹尼尔·西格尔,child_education
甲状腺结节 TI-RADS 分级指南,—,health_checkup
申论范文与历年真题,主流机构,grad_civil_exam
电催化与光催化,—,chemical_industry
电力市场原理,—,energy_power
电力电子技术,—,automotive;energy_power
电力电子技术 Power Electronics,Ned Mohan,energy_power
电力系统分析,何仰赞,energy_power;industrialization
电力系统暂态分析,—,energy_power
电力系统稳态分析,—,energy_power
电力系统继电保护,—,energy_power
电动汽车原理与构造,—,automotive
电化学储能技术,—,energy_power
电商带货与广告合规规范,平台官方,short_video
电商数据分析与指标体系,专著,ecommerce_ops
电商运营实战,专著,ecommerce_ops
电商陷阱与套路解析,专著,digital_office
电声乐器与设备入门,—,music_learning
电子产品质量与可靠性,专著,digital_office
电子商务法,法律出版社,dispute_rights
电子数据取证与鉴定,专著,dispute_rights
电子证据法,专著,dispute_rights
电影镜头设计(分镜到银幕),Steven Katz,short_video
电机与拖动基础,—,automotive
电机学,汤蕴璆,energy_power
电气控制与 PLC 应用,—,machinery
电池安全标准(GB38031),—,automotive
电池循环寿命与衰减,专著,digital_office
电池管理系统(BMS),—,automotive;energy_power
电炉炼钢技术,—,metallurgy
留学费用与奖学金官方信息,院校/政府,study_abroad
畜产品加工学,—,agriculture
畜禽传染病学,—,agriculture
疯传,乔纳·伯杰,gift_selection
疯传 Contagious,乔纳·伯杰,writing_polish
疼痛的真相 Explain Pain,大卫·巴特勒 等,nutrition_fitness
疼痛的真相(Explain Pain),大卫·巴特勒 等,nutrition_fitness
痛风及高尿酸血症饮食管理,专著,dining_recommendation
白布局,吴清源,board_game
白帽子讲 Web 安全,吴翰清,program_management
皮肤病学,人卫教材,skincare_beauty
皮肤美容外科学,—,skincare_beauty
"盐,脂肪,酸,热",萨明·诺斯拉特,food_processing
"盐,脂肪,酸,热 Salt Fat Acid Heat",萨明·诺斯拉特,food_processing
目标 The Goal,高德拉特,industrialization
相约星期二,米奇·阿尔博姆,elder_care
相约星期二 Tuesdays with Morrie,米奇·阿尔博姆,elder_care
看不见的城市,伊塔洛·卡尔维诺,travel_deep;travel_planning
真实的幸福,塞利格曼,mental_wellness
睡眠医学(Principles & Practice),Kryger 等,sleep_health
睡眠医学理论与实践,Kryger,mental_wellness
睡眠卫生(Sleep Hygiene)指南,—,sleep_health
睡眠环境与睡眠质量研究综述,—,sleep_health
睡眠障碍国际分类 ICSD-3,AASM,sleep_health
睡眠革命,尼克·利特尔黑尔斯,mental_wellness;sleep_health
瞬间之美:Web 界面设计,Robert Hoekman,ui_ux_review
知识产权侵权损害赔偿裁判规则,—,legal_consulting
知识产权战略管理,—,ip_patent
知识产权法,吴汉东,contract_review;ip_patent;legal_consulting
知识产权海外布局与侵权应对,专著,cross_border
知识产权评估准则,—,ip_patent
知识产权诉讼与维权实务,—,ip_patent
知识付费产品设计,—,short_video
短视频与直播运营实务,专著,ecommerce_ops
短视频营销,—,agriculture
矿井瓦斯防治,—,mining_extraction
矿井通风与安全,—,mining_extraction
矿井防治水,—,mining_extraction
矿产勘查学,—,mining_extraction
矿区水土保持,—,mining_extraction
矿山固废资源化,—,mining_extraction
矿山安全工程,—,mining_extraction
矿山应急救援与避灾,—,mining_extraction
矿山机械,—,mining_extraction
矿山环境工程,—,mining_extraction
矿山电气与自动化,—,mining_extraction
矿山运输与提升,—,mining_extraction
矿床学,—,mining_extraction
研招网官方招生专业目录,教育部研招网,learning_planning
研招网政策文件汇编,教育部研招网,grad_civil_exam
研究方法论,教材,generic_consulting
研究生招生考试大纲,教育部,grad_civil_exam
碎矿与磨矿,—,mining_extraction
碰撞安全标准(C-NCAP),—,automotive
碳排放权交易概论,—,energy_power
碳达峰碳中和与钢铁行业,—,metallurgy
礼仪金说,金正昆,gift_selection
礼物:古式社会中交换的形式与理由,马塞尔·莫斯,gift_selection
礼物寓意与彩头习俗汇编,—,gift_selection
礼记(饮食礼仪篇),儒家经典,dining_recommendation;wedding_planning
社会保险法解读,—,legal_consulting
社会保障学,郑功成,elder_care;family_finance
社会心理学,戴维·迈尔斯,debate_speech;generic_consulting;gift_selection
社会研究方法,艾尔·巴比,generic_consulting
社保与商保衔接读本,—,insurance_planning
社群营销,—,private_domain
福格行为模型,BJ·福格,fitness_plan;home_organize;time_productivity
福格行为模型 Tiny Habits,BJ·福格,fitness_plan
离婚财产分割裁判规则,—,legal_consulting
私人洽购实务,—,collectibles
种子学,—,agriculture;modern_agriculture
科技考古学,—,collectibles
租赁与共享经济,—,purchase_decision
积分换酒店/里程兑换攻略,综合,travel_planning
税务稽查实务与案例,—,tax_insurance
税法,中国税务出版社教材,family_finance
稳定性研究(ICH Q1),ICH,pharma_biomfg
穷查理宝典,彼得·考夫曼 编,career_transition;collectibles;family_finance;generic_consulting;gift_selection;insurance_planning;ip_patent;purchase_decision;startup_advisory;stock_trading;tax_insurance
穷游锦囊系列,穷游网,travel_deep;travel_planning
空气调节,电子工业,construction_materials
穿搭有术,—,fashion_styling
竞争优势,迈克尔·波特,stock_trading
竞争战略,迈克尔·波特,career_transition;generic_consulting;ip_patent
竞争战略 Competitive Strategy,迈克尔·波特,generic_consulting;startup_advisory;stock_trading
童年的秘密,蒙台梭利,child_education
第三餐盘,丹·巴伯,modern_agriculture
第二曲线创新,查尔斯·汉迪,career_transition
第二次机器革命,布莱恩约弗森,generic_consulting;industrialization
第二次机器革命 The Second Machine Age,布莱恩约弗森,generic_consulting
第二语言习得概论,Rod Ellis,language_learning
第五项修炼,彼得·圣吉,_管理类共用书单
第四次工业革命,克劳斯·施瓦布,industrialization
策略思维,迪克西特/奈尔伯夫,board_game
签证材料清单与表格(DS-160/I-20/CAS/CoE),各国官方,study_abroad
简单的逻辑学,D.Q. McInerny,debate_speech
简历写作实战,—,resume_interview
简约至上(第2版),贾尔斯·科尔伯恩,ui_ux_review
管教恶猫,杰克逊·盖勒克西,pet_care
管理会计,—,agriculture
管理的实践,彼得·德鲁克,_管理类共用书单
米其林必比登平价榜,米其林,travel_planning
米其林指南(年度),米其林,dining_recommendation;travel_deep;travel_planning
米其林绿色指南,米其林,travel_deep;travel_planning
米勒麻醉学,Miller's,family_doctor
类似商品和服务区分表(尼斯分类),—,ip_patent
粤菜烹饪,专著,cooking_recipe
粮食安全与国家战略,—,modern_agriculture
粮食安全政策,—,agriculture
精准农业,—,agriculture
精准农业导论,—,modern_agriculture
精准拉伸,—,nutrition_fitness
精力管理,吉姆·洛尔/托尼·施瓦茨,time_productivity
精密与超精密加工技术,—,aerospace
精益供应链,—,automotive
精益创业,埃里克·莱斯,career_transition
精益创业 The Lean Startup,埃里克·莱斯,industrialization;startup_advisory
精益数据分析,Croll & Yoskovitz,product_manager
精益数据分析 Lean Analytics,Croll & Yoskovitz,startup_advisory
精益生产,—,automotive
精神科急诊处理指南,—,mental_wellness
精细化工概论,—,chemical_industry
精细有机合成原理及技术,—,chemical_industry
精装房验收清单,—,rent_buy_house
精馏过程与设备,—,chemical_industry
糖尿病慢性并发症诊治,—,chronic_disease
糖尿病肾病诊疗,—,chronic_disease
糖尿病视网膜病变筛查,—,chronic_disease
糖尿病足防治,—,chronic_disease
系统之美,德内拉·梅多斯,generic_consulting
系统之美 Thinking in Systems,德内拉·梅多斯,generic_consulting
系统安全性分析 SAE ARP4761,—,aerospace
紫砂壶鉴赏,—,collectibles
纤维化学与物理,蔡再生 等,textiles
纤维成分定性定量分析(FZ/T),行业标准,textiles
纪念品与伴手礼设计,—,event_planning
纳瓦尔宝典,Eric Jorgenson,career_transition
纳税筹划,—,family_finance
纳米催化材料,—,chemical_industry
纸质/书画文物保护,—,collectibles
纺纱学,郁崇文 等,textiles
纺织品检测与质量控制,—,textiles
纺织品鉴别与选购,—,fashion_styling
纺织机械设计原理,—,textiles
纺织材料学,于伟东,textiles
纺织概论,—,textiles
纺织自动化与智能制造,—,textiles
线性系统理论,—,aerospace
组织行为学,斯蒂芬·罗宾斯,_管理类共用书单
细胞培养技术,—,pharma_biomfg
终结糖尿病,乔尔·福尔曼,chronic_disease
终身成长,卡罗尔·德韦克,_管理类共用书单;career_transition;mental_wellness;music_learning
终身成长 Mindset,卡罗尔·德韦克,grad_civil_exam;learning_planning;mental_wellness;music_learning
经济发展理论,熊彼特,industrialization
经济法学,漆多俊,contract_review
结构力学,龙驭球,construction_materials
结构思考力,李忠秋,presentation_skills
统计学,贾俊平,generic_consulting
统计学习基础(ESL),Hastie 等,prompt_engineering
统计学习方法,李航,data_analytics;generic_consulting
统计学的世界,戴维·S·穆尔,data_analytics
统计推断(Statistical Inference),Casella & Berger,data_analytics
统计过程控制 SPC,—,machinery
统计陷阱,达莱尔·哈夫,generic_consulting
继承法律实务,—,elder_care
维修性工程,—,aerospace
维基百科可靠来源与可验证性方针,Wikipedia,writing_polish
绿色化学(Green Chemistry),Anastas,chemical_industry
绿色建筑评价标准 GB/T 50378,国标,construction_materials
绿色矿山建设规范,—,mining_extraction
缓控释制剂技术,—,pharma_biomfg
编剧的艺术,拉约什·埃格里,short_video
网站分析实战,王彦平/吴盛锋,seo_growth;short_video
网络安全法详解,专著,contract_review
罗森急诊医学,Rosen's,family_doctor
罗马法原论,周枏,contract_review
置身事内,兰小欢,rent_buy_house
置身事内:中国政府与经济发展,兰小欢,rent_buy_house
美丽圣经,Paula Begoun,skincare_beauty
美国 TSCA 化学品管理,—,chemical_industry
美国儿科学会育儿百科(第7版),美国儿科学会,child_education;parenting_baby
美国纽约摄影学院摄影教材(上),NYIP,photography
美国纽约摄影学院教材,NYIP,wedding_planning
美国药典(USP),USP,pharma_biomfg
翻新机/二手机鉴别手册,专著,digital_office
老人与海(作家榜版),欧内斯特·海明威,gift_selection
老年人合理用药,—,chronic_disease
老年人权益保障法释义,—,elder_care
老年人运动指导,—,chronic_disease
老年医学,人卫教材,elder_care
老年心理学,教材,elder_care
老年急症识别与处理,—,elder_care
老年护理学,人卫教材,elder_care
老年综合评估(CGA)实务,—,elder_care
老饕漫笔,赵珩,dining_recommendation
考研复试英语口语与专业课指南,—,grad_civil_exam
考研政治大纲解析,肖秀荣系列,grad_civil_exam
考研数学复习全书,李永乐/张宇,grad_civil_exam
考研英语历年真题(黄皮书),张剑,grad_civil_exam
考研英语黄皮书(历年真题),张剑,learning_planning
考试脑科学,池谷裕二,grad_civil_exam;language_learning;learning_planning
耕作学,—,agriculture
聂卫平围棋教程(从入门到15级),聂卫平,board_game
聆听音乐(How to Listen to Music),克雷格·莱特,music_learning
职业健康与粉尘防治,—,mining_extraction
职业锚理论,埃德加·沙因,career_transition
聪明的投资者,格雷厄姆,career_transition;collectibles;family_finance;stock_trading;tax_insurance
肌肉与力量全书,马克·瑞比托 等,nutrition_fitness
肌肉骨骼系统检查与评估,—,nutrition_fitness
肖秀荣考研政治精讲精练,肖秀荣,learning_planning
肠内肠外营养,—,chronic_disease
股权架构与员工期权(ESOP),—,startup_advisory
股权激励个人所得税征管规定,财税文件,tax_insurance
股权设计与公司治理,—,legal_consulting
股票作手回忆录,埃德温·勒菲弗,family_finance;stock_trading
肥料学,—,agriculture;gardening;modern_agriculture
肺结节诊治中国专家共识,—,health_checkup
肿瘤标志物临床应用专家共识,—,health_checkup
背景调查规范,—,resume_interview
胶囊衣橱实践指南,—,fashion_styling
能力陷阱,埃米尼亚·伊贝拉,career_transition
能源与文明,瓦茨拉夫·斯米尔,energy_power
能源与文明 Energy and Civilization,瓦茨拉夫·斯米尔,energy_power
能源技术经济学,—,industrialization
能源经济学,—,energy_power
自制宠物鲜食营养指南,—,pet_care
自动控制原理,胡寿松,aerospace;machinery
自动驾驶仿真测试,—,automotive
自动驾驶汽车技术,—,automotive
自控力,凯利·麦格尼格尔,fitness_plan;grad_civil_exam;home_organize;language_learning;nutrition_fitness
自杀论,埃米尔·涂尔干,mental_wellness
自杀风险评估 C-SSRS 手册,哥伦比亚,mental_wellness
自然光摄影,—,photography
自驱型成长,威廉·斯蒂克斯鲁德 等,child_education;learning_planning
臭鼬工厂回忆录,本·里奇 等,aerospace
至味在人间,陈晓卿,dining_recommendation;travel_deep;travel_planning
舌尖上的中国(图书版),央视纪录片组,dining_recommendation
舞台音响灯光基础,—,event_planning
航空发动机原理,—,aerospace
航空发动机气动热力学,—,aerospace
航空材料学,—,aerospace
航空航天工程导论,—,aerospace
船体强度与结构设计,—,shipbuilding_marine
船舶制造工艺学,—,shipbuilding_marine
船舶动力装置原理与设计,—,shipbuilding_marine
船舶原理(上/下册),盛振邦/刘应中,shipbuilding_marine
船舶涂装技术(IMO PSPC),—,shipbuilding_marine
船舶电力推进系统,—,shipbuilding_marine
船舶结构力学,—,shipbuilding_marine
船舶设计原理,林焰 等,shipbuilding_marine
色彩与脸型分析手册,—,skincare_beauty
色彩与花境设计,—,gardening
色彩搭配原理与技巧,—,fashion_styling
色彩的秘密生活,卡西亚·圣克莱尔,fashion_styling
色彩设计的原理,伊达千代,home_renovation
艺术品交易法律实务,—,collectibles
艺术品价格指数解读,—,collectibles
艺术品保险与质押,—,collectibles
艺术品市场学,—,collectibles
艺术品投资学,—,collectibles
艺术品金融,—,collectibles
艺术经济学,—,collectibles
艺术金融与资产配置,—,collectibles
艾略特波浪理论,普莱切特/弗罗斯特,stock_trading
节令食物典故,专著,dining_recommendation
节水灌溉技术,—,agriculture
芝加哥格式手册,The Chicago Manual of Style,writing_polish
芯片战争,余盛,electronics_semiconductor;industrialization
芯片战争 Chip War,余盛,electronics_semiconductor
芯片浪潮,—,electronics_semiconductor
芯片简史,汪波,electronics_semiconductor
花卉栽培学,教材,gardening
花园设计指南,—,gardening
苏格拉底诘问法,专著,debate_speech
苹果/安卓/Windows 生态对比,专著,digital_office
药剂学,人卫教材,pharma_biomfg
药品注册管理办法,NMPA,pharma_biomfg
药品生产质量管理规范(GMP/cGMP),NMPA/FDA/EU,pharma_biomfg
药品管理法,全国人大,pharma_biomfg
药物化学,人卫教材,pharma_biomfg
药物合成反应,闻韧,pharma_biomfg
药物相互作用,—,chronic_disease
药物递送系统(DDS),—,pharma_biomfg
药理学,人卫教材,chronic_disease
菊与刀,鲁思·本尼迪克特,travel_deep;travel_planning
菜单设计与餐标核算指南,综合,wedding_planning
营养与睡眠专题,—,sleep_health
营养与食品卫生学,—,chronic_disease
营养学:概念与争论,Sizer & Whitney,cooking_recipe
营销管理,菲利普·科特勒,seo_growth
萨提亚家庭治疗模式,维吉尼亚·萨提亚,child_education
著作权法,王迁,legal_consulting
著作权法原理与案例,专著,contract_review
蒂氏急诊医学,Tintinalli's,family_doctor
蒙台梭利早期教育法,蒙台梭利,child_education;parenting_baby
蓝海战略,金/莫博涅,generic_consulting
蓝海战略 Blue Ocean Strategy,金/莫博涅,startup_advisory
蔡澜美食随笔系列,蔡澜,travel_deep;travel_planning
蔬菜园丁圣经,爱德华·史密斯,gardening
蔬菜园丁圣经 The Vegetable Gardener's Bible,爱德华·史密斯,gardening
蔬菜栽培学,—,agriculture
薄世宁医学通识讲义,薄世宁,health_checkup
薪资谈判实战,—,resume_interview
虹越花卉百科,—,gardening
蛤蟆先生去看心理医生,罗伯特·戴博德,mental_wellness
血常规与生化指标临床意义手册,—,health_checkup
血糖/血压家庭监测规范,—,chronic_disease
行业研究报告,—,resume_interview
行为改变的跨理论模型,—,chronic_disease
行为面试 STAR 法则,—,resume_interview
行测教材与历年真题,粉笔/华图,grad_civil_exam
表面工程学,—,machinery
表面活性剂化学,—,chemical_industry
被动式低能耗建筑技术导则,住建部,construction_materials
被讨厌的勇气,岸见一郎,home_organize;mental_wellness
裂变营销实战,—,private_domain
装配式混凝土结构技术规程 JGJ 1,行标,construction_materials
裸车价/落地价拆解手册,—,car_purchase
西尔斯亲密育儿百科,威廉·西尔斯,parenting_baby
西尔斯母乳喂养全书,玛莎·西尔斯/威廉·西尔斯,parenting_baby
西方礼仪经典 Etiquette,埃米莉·波斯特,gift_selection
西方音乐史,于润洋,music_learning
西窗法雨,刘星,legal_consulting
西餐工艺,专业教材,cooking_recipe
观看之道,约翰·伯格,photography
观赏植物学,—,gardening
规模:复杂世界的简单法则,杰弗里·韦斯特,industrialization
视唱练耳教程,—,music_learning
视觉之旅:神奇的化学元素,西奥多·格雷,chemical_industry
视觉锤,劳拉·里斯,cross_border;ecommerce_ops;ui_ux_review
解剖列车 Anatomy Trains,Thomas Myers,fitness_plan;nutrition_fitness
解剖列车(Anatomy Trains),托马斯·迈尔斯,nutrition_fitness
计算机体系结构(量化研究方法),Hennessy & Patterson,digital_office
计算机化系统验证(GAMP 5),ISPE,pharma_biomfg
计算机网络(自顶向下),Kurose & Ross,digital_office
计算机视觉,—,automotive
认知天性,彼得·布朗,career_transition;grad_civil_exam;language_learning;learning_planning
认知疗法:基础与应用,Judith Beck,family_doctor;mental_wellness
认知行为疗法:基础与应用,Judith Beck,grad_civil_exam
认识电影,路易斯·贾内梯,short_video
让创意更有黏性 Made to Stick,奇普·希思/丹·希思,writing_polish
让孩子心悦诚服,杨杰,child_education
论摄影,苏珊·桑塔格,photography;travel_deep;travel_planning;wedding_planning
论犯罪与刑罚,切萨雷·贝卡里亚,legal_consulting
论证的力量(The Uses of Argument),图尔敏,debate_speech
论钢琴表演艺术,涅高兹,music_learning
设备管理(TPM),—,automotive
设施农业工程,—,agriculture
设施园艺学,—,agriculture
设施园艺环境调控,—,gardening
设计中的设计,原研哉,gift_selection;home_renovation;ui_ux_review
设计心理学,唐纳德·诺曼,digital_office;product_manager;ui_ux_review
设计心理学 The Design of Everyday Things,唐纳德·诺曼,gift_selection;home_organize;home_renovation
设计数据密集型应用 DDIA,Martin Kleppmann,startup_advisory
设计模式(GoF),Gamma 等,program_management
设计的觉醒,田中一光,ui_ux_review
证券分析,格雷厄姆/多德,family_finance
证券分析 Security Analysis,格雷厄姆 / 多德,stock_trading
证券法,叶林,legal_consulting
证据保全实务,专著,dispute_rights
证据法学,何家弘,dispute_rights;legal_consulting
诉讼成本与效益评估,专著,dispute_rights
诊断协议(UDS),—,automotive
诊断学,人卫教材,family_doctor;health_checkup
语言教学的流派,Richards & Rodgers,language_learning
语言教学课程论,Nation & Macalister,language_learning
语言本能 The Language Instinct,史蒂芬·平克,language_learning
语言的魔力,罗伯特·迪尔茨,debate_speech
说服(Pre-Suasion),西奥迪尼,presentation_skills
说服的艺术,专著,debate_speech
请柬设计与措辞礼仪手册,综合,wedding_planning
诸福棠实用儿科学,江载芳 等,family_doctor;parenting_baby
